"","Category","Type","Organisation","Organisation_type","Country","City","Source"
"467","Divestment","Full","Thomas Jefferson Memorial Church, VA","Faith-based Organization","USA","Charlottesville","https://divestfossilfuels.files.wordpress.com/2014/07/public-witness-on-climate-change-charlottesville.pdf"
"468","Divestment","Full","Threshold Foundation","Philanthropic Foundation","USA","San Francisco","http://divestinvest.org/philanthropy/#/signatories/threshold-foundation"
"469","Divestment","Full","Town (City) of Fredericia","Government","Denmark","Fredericia","http://www.fredericia.dk/dagsordener-og-referater-fra-byraad-og-udvalg/open/Byr%C3%A5det%20%28%C3%85ben%29/2016/14-03-2016/Dagsorden%20%28%C3%85ben%29/BR-14-03-2016%20-%2000%20Referat%20med%20bilag.pdf"
"470","Divestment","Full","Town of Bassendean","Government","Australia","Bassendean","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"471","Divestment","Full","Town of East Fremantle","Government","Australia","East Fremantle","--"
"472","Divestment","Full","Trenton Meeting","Faith-based Organization","USA","Trenton","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"473","Divestment","Full","Trinitarian Congregational United Church of Christ, Warwick, Massachusetts","Faith-based Organization","USA","Warwick","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"474","Divestment","Fossil Free","Trinity St. Paul's United Church, Toronto","Faith-based Organization","Canada","Toronto","--"
"475","Divestment","Full","Trust Africa","Philanthropic Foundation","Senegal","Dakar","http://divestinvest.org/philanthropy/#/signatories/trustafrica"
"476","Divestment","Full","Tweeps Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"477","Divestment","Full","Unfolding Futures Pty Ltd Superannuation Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"478","Divestment","Full","Union of Concerned Scientists","NGO","USA","Cambridge","http://blog.ucsusa.org/ucs-goes-fossil-free-757?utm_source=fb&utm_medium=fb&utm_campaign=fb"
"479","Divestment","Full","Union Theological Seminary, New York City","Faith-based Organization","USA","New York","http://350.org/press-release/union-theological-seminary-in-nyc-votes-unanimously-to-divest-from-fossil-fuels/"
"480","Divestment","Partial","UniSuper","Pension Fund","Australia","Melbourne","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"481","Divestment","Fossil Free","Unitarian Church of Los Alamos, NM","Faith-based Organization","USA","Los Alamos","--"
"482","Divestment","Full","Unitarian Church of South Australia","Faith-based Organization","Australia","Norwood","--"
"483","Divestment","Full","Unitarian Society of Northampton & Florence, MA","Faith-based Organization","USA","Northampton","--"
"484","Divestment","Full","Unitarian Universalist Association","Faith-based Organization","USA","Boston","http://www.uua.org/news/press-release/unitarian-universalist-association-joins-fossil-fuel-divestment-movement"
"485","Divestment","Full","Unitarian Universalist Church of Palo Alto, CA","Faith-based Organization","USA","Palo Alto","http://gofossilfree.org/commitments/"
"486","Divestment","Full","Unitarian Universalist Church, First Parish, Sherborn, Massachusetts","Faith-based Organization","USA","Sherborn","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"487","Divestment","Full","Unitarian Universalist Congregation of Castine, Maine","Faith-based Organization","USA","Castine","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"488","Divestment","Full","Unitarian Universalist Congregation of South County, RI","Faith-based Organization","USA","Peace Dale","--"
"489","Divestment","Full","Unitarian Universalist Fellowship of Ames","Faith-based Organization","USA","Ames","--"
"490","Divestment","Full","Unitarian Universalist Fellowship of Corvallis, OR","Faith-based Organization","USA","Corvallis","http://uucorvallis.org/wp-content/uploads/2014/03/Fossil-Fuel-Divestment-Resolution-and-Press-Release-May-2014.pdf"
"491","Divestment","Full","Unitarian Universalist Society of Amherst, MA","Faith-based Organization","USA","Amherst","http://www.uusocietyamherst.org/News/tabid/63/ID/1104/UUSA-Divests-of-Fossil-Fuels.aspx"
"492","Divestment","Full","Unitarian Universalist Society of Bangor, Maine","Faith-based Organization","USA","Bangor","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
